country,iso_code,year,co2,co2_growth_prct,co2_per_capita,methane,nitrous_oxide,total_ghg
United States,USA,2005,6126.903,0.251,20.719,772.655,261.767,7428.8
United States,USA,2006,6045.326,-1.331,20.237,785.023,265.772,7064.877
United States,USA,2007,6121.542,1.261,20.28,793.939,266.411,7181.516
United States,USA,2008,5919.221,-3.305,19.409,810.64,254.756,7074.333
United States,USA,2009,5486.104,-7.317,17.811,772.483,250.126,6577.918
United States,USA,2010,5669.25,3.338,18.225,756.187,256.39,6823.523
United States,USA,2011,5538.973,-2.298,17.634,764.383,255.979,6523.64
United States,USA,2012,5331.467,-3.746,16.812,749.641,249.914,6388.708
United States,USA,2013,5473.436,2.663,17.099,748.067,254.243,6488.665
United States,USA,2014,5531.385,1.059,17.119,763.215,252.467,6610.767
United States,USA,2015,5368.497,-2.945,16.461,754.889,249.664,6408.286
United States,USA,2016,5245.362,-2.294,15.935,733.371,251.182,6308.617
United States,USA,2017,5195.417,-0.952,15.639,749.256,247.069,6319.225
United States,USA,2018,5361.236,3.192,16.001,777.6,249.199,6466.737
United States,USA,2019,5235.912,-2.338,15.5,799.062,244.477,6360.787
United States,USA,2020,4689.954,-10.427,13.817,761.174,241.329,5758.456
United States,USA,2021,5020.111,7.04,14.758,789.44,244.912,6131.129
United States,USA,2022,5055.403,0.703,14.802,801.907,241.442,6201.504
United States,USA,2023,4918.407,-2.71,14.319,819.061,239.774,6078.455
United States,USA,2024,4904.12,-0.29,14.197,818.348,239.599,6054.308
